yolo-obj
Learning Rate: 0.1, Momentum: 0.9, Decay: 0.0005
Loaded: 0.122297 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001120, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000251, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.592163, Class: 0.982515, Obj: 0.005865, No Obj: 0.000364, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.397107, Class: 0.025975, Obj: 0.136872, No Obj: 0.000338, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000544, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.438697, Class: 0.896993, Obj: 0.028367, No Obj: 0.000562, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000179, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000792, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000357, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.694719, Class: 0.942693, Obj: 0.000310, No Obj: 0.000190, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000318, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000354, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000216, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000148, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000251, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.458881, Class: 0.984798, Obj: 0.001087, No Obj: 0.000318, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001811, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.402166, Class: 0.993451, Obj: 0.375268, No Obj: 0.001549, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.749919, Class: 0.980424, Obj: 0.003342, No Obj: 0.000361, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000173, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.557119, Class: 0.954113, Obj: 0.003452, No Obj: 0.000439, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.550638, Class: 0.985188, Obj: 0.000967, No Obj: 0.000187, .5R: 1.000000, .75R: 0.000000,  count: 1
606: 0.513947, 0.705524 avg, 0.013486 rate, 2.690065 seconds, 19392 images
Loaded: 0.000073 seconds
Region 82 Avg IOU: 0.617639, Class: 0.989429, Obj: 0.129367, No Obj: 0.001384, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.523101, Class: 0.981550, Obj: 0.004808, No Obj: 0.000563, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.528781, Class: 0.860940, Obj: 0.010630, No Obj: 0.000393, .5R: 0.500000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001542, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.536989, Class: 0.833954, Obj: 0.418864, No Obj: 0.002183, .5R: 0.833333, .75R: 0.000000,  count: 6
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000365, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000487, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000779, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.494495, Class: 0.785906, Obj: 0.004451, No Obj: 0.000470, .5R: 0.500000, .75R: 0.500000,  count: 2
Region 82 Avg IOU: 0.647287, Class: 0.712442, Obj: 0.224276, No Obj: 0.002111, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.555754, Class: 0.931379, Obj: 0.002332, No Obj: 0.000419, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.247283, Class: 0.742173, Obj: 0.001385, No Obj: 0.000268, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000234, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.767642, Class: 0.984938, Obj: 0.023643, No Obj: 0.000341, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.619806, Class: 0.993648, Obj: 0.001462, No Obj: 0.000539, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.608745, Class: 0.985953, Obj: 0.332201, No Obj: 0.002684, .5R: 1.000000, .75R: 0.000000,  count: 2
