yolo-obj
Learning Rate: 0.1, Momentum: 0.9, Decay: 0.0005
Loaded: 0.105496 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.054215, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.054079, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.019348, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.411966, Class: 0.281964, Obj: 0.018207, No Obj: 0.007272, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.052336, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.441262, Class: 0.191828, Obj: 0.008444, No Obj: 0.019182, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.079128, Class: 0.423921, Obj: 0.001348, No Obj: 0.006986, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.051028, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.271961, Class: 0.697956, Obj: 0.013599, No Obj: 0.018804, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.237419, Class: 0.170947, Obj: 0.000503, No Obj: 0.007208, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.148172, Class: 0.622713, Obj: 0.020222, No Obj: 0.049922, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.018615, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.555371, Class: 0.528268, Obj: 0.031551, No Obj: 0.007052, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.051838, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.018966, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.336676, Class: 0.773607, Obj: 0.005720, No Obj: 0.007319, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.297441, Class: 0.329628, Obj: 0.019932, No Obj: 0.051726, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.204902, Class: 0.642312, Obj: 0.022579, No Obj: 0.018114, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006850, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.053233, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.018766, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006901, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.202690, Class: 0.550546, Obj: 0.022786, No Obj: 0.051937, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.132779, Class: 0.917643, Obj: 0.026492, No Obj: 0.018638, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.007119, .5R: -nan, .75R: -nan,  count: 0
106: 4.380522, 4.794593 avg, 0.000013 rate, 2.675568 seconds, 3392 images
Loaded: 0.000086 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.049274, .5R: -nan, .75R: -nan,  count: 0
